,,J.P. Morgan SE,
,,"TaunusTurm, Taunustor 1,",
,,"Frankfurt am Main, 60310",
,,SwitchBoard:,+44 (0) 20 7742 4000
,,Trading:,+44 (0) 20 7134 1043
,,Facsimile:,+44 (0) 20 3043 6817
,,MetalsCredit@JPMorgan.com,
,,JPMorgan.com/commodities,
TO:,INOTAL ALUMINIUMFELDOLGOZO ZRT. (ALOZ),DATE:,04-Mar-2023
Please find enclosed details of the following as at close of business on 03-Mar-2023:-,,,
,Forward contracts outstanding between ourselves,,
,Stock that we are holding on your behalf,,
,Letters of credit or guarantees of which we are the beneficiary,,
"We ask you to inform us as soon as possible of any errors, ommissions or exceptions which you may detect when checking the above.",,,
Please note that this is not an audit request and no reply is necessary if you are in agreement.,,,
"However, we trust this will assist both of us and thank you in advance for your co-operation.",,,
"Yours faithfully,",,,
J.P.Morgan,,,
Please note that the information included with this letter is available at any time via our website at https://markets.jpmorgan.com,,,
,Page 1 of 11,,
"This statement is issued by J.P. Morgan SE ('J.P.Morgan'). This statement is the official statement of your account. Please review your statements for accuracy. Inaccuracies should be reported immediately to your account executive. If you do not report such inaccuracies or discrepancies, you will be deemed to have accepted and agreed to their",,,
"content. Any oral communication should be confirmed in writing. J.P. Morgan does not review and accept as binding any statements sent by you to J.P. Morgan and in the event of any conflict between statements sent to J.P.Morgan and those issued by J.P. Morgan, statements issued by J.P. Morgan shall be conclusive. The approximate time of",,,
transactions detailed herein will be provided upon request.,,,

,,,,,,,,,J.P. Morgan SE,,
,,,,,,,,,"TaunusTurm, Taunustor 1,",,
,,,,,,,,,"Frankfurt am Main, 60310",,
,,,,,,,,,SwitchBoard:,+44 (0) 20 7742 4000,
,,,,,,,,,Trading:,+44 (0) 20 7134 1043,
,,,,,,,,,Facsimile:,+44 (0) 20 3043 6817,
,,,,,,,,,MetalsCredit@JPMorgan.com,,
,,,,,,,,,JPMorgan.com/commodities,,
ALUMINIUM,,,,,,,,,,,
Contract Date,Contract ID,Trade,Client,Contract,Market,Commission,Commission,Net QTY,Net Delta QTY,Profit/Loss (Inc. Comm) USD,
,,Type,Buy/Sell,Price,Price,Rate,Type,,,Undiscounted,Discounted
Prompt: 15-Mar-2023,,,,,,,,,,,
01-Sep-2022,85000H-14M3QR,Fwd,Buy,"2,295.65 EUR","2,231.95 EUR",1/16 % EUR,Exl.,200.00,200.00,"-13,815.09","-13,794.14"
22-Sep-2022,85000H-14Y2H7,Fwd,Sell,"2,232.56 EUR","2,231.95 EUR",1/16 % EUR,Exl.,-250.00,-250.00,-208.33,-208.01
23-Sep-2022,85000H-14YVL1,Fwd,Sell,"2,210.61 EUR","2,231.95 EUR",1/16 % EUR,Exl.,-25.00,-25.00,-602.42,-601.51
28-Nov-2022,85000H-15UUF7,Fwd,Sell,"2,225.90 EUR","2,231.95 EUR",1/16 % EUR,Exl.,-100.00,-100.00,-789.19,-787.99
15-Dec-2022,85000H-163CDJ,Fwd,Buy,"2,260.95 EUR","2,231.95 EUR",1/16 % EUR,Exl.,25.00,25.00,-806.32,-805.10
16-Dec-2022,85000H-16430O,Fwd,Buy,"2,258.80 EUR","2,231.95 EUR",1/16 % EUR,Exl.,25.00,25.00,-749.28,-748.15
21-Dec-2022,85000H-165X1W,Fwd,Buy,"2,242.30 EUR","2,231.95 EUR",1/16 % EUR,Exl.,50.00,50.00,-623.10,-622.16
12-Jan-2023,85000H-16EPBY,Fwd,Buy,"2,283.10 EUR","2,231.95 EUR",1/16 % EUR,Exl.,25.00,25.00,"-1,393.94","-1,391.83"
16-Jan-2023,85000H-16FZ4Y,Fwd,Buy,"2,387.05 EUR","2,231.95 EUR",1/16 % EUR,Exl.,50.00,50.00,"-8,303.32","-8,290.73"
,,,,,,Total for Prompt:,15-Mar-2023,0.00,0.00,"-27,290.99","-27,249.62"
,,,,,,Total for Month:,Mar,0.00,0.00,"-27,290.99","-27,249.62"
Prompt: 04-Apr-2023,,,,,,,,,,,
25-Aug-2022,85000H-14IL4I,Swap,Buy,361.00 EUR,287.92 EUR,NETT,N/A,200.00,-0.00,"-15,517.46","-15,452.94"
14-Oct-2022,85000H-15ALMX,Swap,Buy,328.00 EUR,287.92 EUR,NETT,N/A,175.00,-0.00,"-7,446.26","-7,415.30"
09-Nov-2022,85000H-15MI91,Swap,Buy,287.00 EUR,287.92 EUR,NETT,N/A,250.00,-0.00,245.25,244.23
11-Nov-2022,85000H-15NSIH,Swap,Buy,268.00 EUR,287.92 EUR,NETT,N/A,150.00,-0.00,"3,173.09","3,159.90"
11-Nov-2022,85000H-15NPW1,Swap,Buy,276.00 EUR,287.92 EUR,NETT,N/A,200.00,-0.00,"2,532.01","2,521.49"
